1.0, -1.0, 0.2583, 0.549, 0.0216, 0.0822, -1.0, -1.0, -1.0, -1.0
1.0, -1.0, 0.8227, 0.2212, 0.0265, 0.1438, -1.0, -1.0, -1.0, -1.0
1.0, -1.0, 0.0822, 0.4073, 0.017, 0.0661, -1.0, -1.0, -1.0, -1.0
1.0, -1.0, 0.3433, 0.2027, 0.0333, 0.1632, -1.0, -1.0, -1.0, -1.0
1.0, -1.0, 0.2743, 0.1983, 0.0294, 0.1535, -1.0, -1.0, -1.0, -1.0
1.0, -1.0, 0.299, 0.1675, 0.0394, 0.2642, -1.0, -1.0, -1.0, -1.0
1.0, -1.0, 0.9797, 0.5022, 0.0457, 0.1519, -1.0, -1.0, -1.0, -1.0
1.0, -1.0, 0.8541, 0.1809, 0.0379, 0.2128, -1.0, -1.0, -1.0, -1.0
1.0, -1.0, 0.0183, 0.6205, 0.0384, 0.1107, -1.0, -1.0, -1.0, -1.0
1.0, -1.0, 0.4452, 0.587, 0.2252, 0.2397, -1.0, -1.0, -1.0, -1.0
2.0, 1.0, 0.2663, 0.5435, 0.0084, 0.0732, -1.0, -1.0, -1.0, -1.0
2.0, 2.0, 0.8394, 0.2144, 0.0127, 0.1344, -1.0, -1.0, -1.0, -1.0
2.0, 3.0, 0.0814, 0.4027, 0.008, 0.0619, -1.0, -1.0, -1.0, -1.0
2.0, 4.0, 0.3471, 0.1954, 0.0176, 0.1529, -1.0, -1.0, -1.0, -1.0
2.0, 5.0, 0.2753, 0.1909, 0.0135, 0.1429, -1.0, -1.0, -1.0, -1.0
2.0, 6.0, 0.3064, 0.1611, 0.0251, 0.2536, -1.0, -1.0, -1.0, -1.0
2.0, 7.0, 0.9934, 0.4997, 0.0433, 0.1495, -1.0, -1.0, -1.0, -1.0
2.0, 8.0, 0.8661, 0.1763, 0.0269, 0.2058, -1.0, -1.0, -1.0, -1.0
2.0, 9.0, 0.0429, 0.5991, 0.0748, 0.1678, -1.0, -1.0, -1.0, -1.0
2.0, 10.0, 0.5068, 0.5459, 0.1466, 0.1779, -1.0, -1.0, -1.0, -1.0
3.0, 1.0, 0.2633, 0.5458, 0.0144, 0.0757, -1.0, -1.0, -1.0, -1.0
3.0, 2.0, 0.8362, 0.2176, 0.0178, 0.1338, -1.0, -1.0, -1.0, -1.0
3.0, 3.0, 0.0829, 0.4035, 0.0126, 0.0611, -1.0, -1.0, -1.0, -1.0
3.0, 4.0, 0.3466, 0.1973, 0.0215, 0.1529, -1.0, -1.0, -1.0, -1.0
3.0, 5.0, 0.2747, 0.1938, 0.0201, 0.1454, -1.0, -1.0, -1.0, -1.0
3.0, 6.0, 0.3054, 0.1617, 0.0266, 0.2527, -1.0, -1.0, -1.0, -1.0
3.0, 7.0, 1.0006, 0.5023, 0.0497, 0.1506, -1.0, -1.0, -1.0, -1.0
3.0, 8.0, 0.869, 0.1767, 0.0274, 0.2024, -1.0, -1.0, -1.0, -1.0
3.0, 9.0, 0.0431, 0.5996, 0.1304, 0.189, -1.0, -1.0, -1.0, -1.0
3.0, 10.0, 0.5373, 0.5517, 0.1511, 0.1951, -1.0, -1.0, -1.0, -1.0
4.0, 1.0, 0.257, 0.5496, 0.0206, 0.0808, -1.0, -1.0, -1.0, -1.0
4.0, 2.0, 0.8377, 0.2149, 0.013, 0.1311, -1.0, -1.0, -1.0, -1.0
